budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,Column1,Name2,tweets analyzed,movieTermCount,total retweets,positive percentage,positive retweets,negative percentage,negative retweets,neutral tweet percentage,P_N,P_N_N,P_Nratio,PandN/Nratio
7000000,Scott Free Productions,USA,Jay Duplass,Comedy,7455447,Cyrus,R,40375,91,6.3,John C. Reilly,31320,Mark Duplass,2010,5455,Cyrus,45,1,8,57.77777778,8,2.222222222,0,40,1,2,26,44.00000001
2000000,Anonymous Content,USA,Debra Granik,Drama,6531503,Winter's Bone,R,40375,100,7.2,Jennifer Lawrence,118433,Debra Granik,2010,5340,Winter's Bone,72,13,12,44.44444444,11,19.44444444,1,36.11111111,1,2,2.285714286,4.142857144
160000000,Warner Bros.,USA,Christopher Nolan,Action,292576195,Inception,PG-13,40375,148,8.8,Leonardo DiCaprio,1629342,Christopher Nolan,2010,5281,Inception,6,1,0,83.33333333,0,0,0,16.66666667,1,2,0,0
150000000,Walt Disney Pictures,USA,Jon Turteltaub,Action,63150991,The Sorcerer's Apprentice,PG,40373,109,6.1,Nicolas Cage,133390,Lawrence Konner,2010,5362,The Sorcerer's Apprentice,19,6,0,63.15789474,0,0,0,36.84210526,1,2,0,0
69000000,Universal Pictures,USA,Pierre Coffin,Animation,251513985,Despicable Me,PG,40368,95,7.7,Steve Carell,422190,Cinco Paul,2010,5292,Despicable Me,12,2,1,25,0,33.33333333,0,41.66666667,0,1,0.75,2
5000000,CJ Entertainment,South Korea,Chan-wook Park,Drama,296441,Thirst,R,40368,133,7.2,Kang-ho Song,33954,Seo-kyeong Jeong,2009,5219,Thirst,25,1,4,44,2,16,0,40,1,2,2.75,5.25
150000000,Paramount Pictures,USA,M. Night Shyamalan,Action,131564731,The Last Airbender,PG,40360,103,4.2,Noah Ringer,127467,M. Night Shyamalan,2010,5326,The Last Airbender,55,17,5,34.54545455,0,30.90909091,1,34.54545455,1,0,1.117647059,2.235294118
68000000,Summit Entertainment,USA,David Slade,Adventure,300531751,The Twilight Saga: Eclipse,PG-13,40359,124,4.9,Kristen Stewart,195941,Melissa Rosenberg,2010,5336,The Twilight Saga: Eclipse,22,10,15,68.18181818,15,9.090909091,0,22.72727273,1,2,7.5,10
80000000,Columbia Pictures,USA,Dennis Dugan,Comedy,162001186,Grown Ups,PG-13,40354,102,6,Adam Sandler,194404,Adam Sandler,2010,5319,Grown Ups,73,3,10,45.20547945,4,19.17808219,3,35.61643836,1,2,2.357142857,4.214285715
117000000,Twentieth Century Fox Film Corporation,USA,James Mangold,Action,76423035,Knight and Day,PG-13,40352,109,6.3,Tom Cruise,157815,Patrick O'Neill,2010,5309,Knight and Day,22,2,14,63.63636364,6,13.63636364,1,22.72727273,1,2,4.666666666,6.333333332
47000000,Warner Bros.,USA,Jimmy Hayward,Action,10539414,Jonah Hex,PG-13,40347,81,4.7,Josh Brolin,48504,Mark Neveldine,2010,5388,Jonah Hex,24,6,19,50,1,20.83333333,0,29.16666667,1,2,2.4,3.800000001
200000000,Walt Disney Pictures,USA,Lee Unkrich,Animation,415004880,Toy Story 3,G,40347,103,8.3,Tom Hanks,603472,John Lasseter,2010,5310,Toy Story 3,85,13,7,51.76470588,4,15.29411765,0,32.94117647,1,2,3.384615384,5.538461537
