Budget,Genre,Gross,Name,Negative Percentage,Negative Retweets,Neutral Tweets,Positive Percentage,Positive Retweets,Runtime,Score,Tweets Analyzed,Votes,Year,SentClass2,SentClass3,SentRatio
100000000,Adventure,77233467,Donde viven los monstruos,0,0,100,0,0,101,6.8,24,91833,2009,0,1,0
250000000,Adventure,301959197,Harry Potter and the Half-Blood Prince,68.13186813,181,9.89010989,21.97802198,58,153,7.5,91,362271,2009,0,0,0.322580645
70000000,Adventure,35922978,The Pink Panther 2,38.88888889,5,16.66666667,44.44444444,11,92,5.6,54,35845,2009,1,2,1.142857143
40000000,Adventure,14241034,Amelia,10.75268817,2147,65.59139785,23.65591398,5483,111,5.8,93,10609,2009,0,1,2.200000001
150000000,Adventure,177243721,Night at the Museum: Battle of the Smithsonian,15.38461538,0,46.15384615,38.46153846,8,105,5.9,13,143636,2009,0,1,2.500000001
95000000,Adventure,88761720,Percy Jackson & the Olympians: The Lightning Thief,7.01754386,0,70.1754386,22.80701754,8,118,5.9,57,152255,2010,0,1,3.249999999
112000000,Adventure,42779261,Gulliver's Travels,10,0,60,30,2,85,4.9,20,56336,2010,0,1,3
155000000,Adventure,104386950,The Chronicles of Narnia: The Voyage of the Dawn Treader,3.448275862,0,86.20689655,10.34482759,3,113,6.3,29,116260,2010,0,1,3.000000001
200000000,Adventure,334191110,Alice in Wonderland,14.11764706,336,48.23529412,37.64705882,122,108,6.5,85,331389,2010,0,1,2.666666666
30000000,Adventure,53032453,Letters to Juliet,2,0,82,16,4,100,6.6,100,79868,2010,0,1,8
20000000,Adventure,23186769,Princesa por accidente,0,0,100,0,0,100,5.8,4,35684,2011,0,1,0
45000000,Adventure,88631237,The Muppets,20.87912088,27,35.16483516,43.95604396,41,100,7.1,91,78440,2011,1,2,2.105263158
150000000,Adventure,73864507,Hugo,2.272727273,5,93.18181818,4.545454545,285,126,7.5,88,264187,2011,0,1,2
